OCCORRENZE,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR_allarmi,CITTA_PARTENZA_allarmi,PAESE_PART_allarmi,ZONA_allarmi,TOT,MOTIVO_ALLARME,note_operatore_allarmi,flag_rischio,NAZIONALITA,CITTA_ARR_tip,CITTA_PARTENZA_tip,PAESE_PART_tip,ZONA_tip,ENTRATI,INVESTIGATI,ALLARMATI,TIPO_DOCUMENTO,GENERE,FASCIA_ETA,FLAG_TRANSITO,COMPAGNIA_AEREA,NUMERO_VOLO,ESITO_CONTROLLO,note_operatore_tip,codice_rischio
voli disponibili,blq,lhr,2024-01-02 08:25:00,bologna,londra,regno unito,8.0,1.0,nsis,,,,bologna,londra,regno unito,8.0,1.0,1.0,0.0,,m,0-17,singola tratta,british airways,ba0540,respinto,,
voli solo visualizzati,mxp,kwi,2024-01-02 08:25:00,milano,kuwait city,kuwait,2.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
esito negativo,mxp,kwi,2024-01-02 08:25:00,milano,kuwait city,kuwait,2.0,8.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,mxp,kwi,2024-01-02 08:25:00,milano,kuwait city,kuwait,2.0,129.0,tsc,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,ist,2024-01-02 08:40:00,milano,istanbul,turchia,2.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,fco,lhr,2024-01-02 09:20:00,roma,londra,regno unito,5.0,3.0,nsis,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,lgw,2024-01-02 09:40:00,roma,londra,regno unito,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,nap,stn,2024-01-02 09:45:00,napoli,londra,regno unito,6.0,4.0,,,,,,,,,,,,,,,,,,,,
voli investigati,mxp,kiv,2024-01-02 10:00:00,milano,chisinau,moldavia,2.0,1.0,interpol,,,alb,milano,chisinau,moldavia,2.0,1.0,1.0,1.0,passaporto,f,46-60,singola tratta,flyone,5f0295,in attesa,,
allarmi generati,mxp,tun,2024-01-02 10:00:00,milano,tunis,tunisia,2.0,26.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,mxp,cai,2024-01-02 10:15:00,milano,cairo,egitto,2.0,111.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,bgy,saw,2024-01-02 10:35:00,bergamo,istanbul,turchia,2.0,6.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi generati,blq,cmn,2024-01-02 10:35:00,bologna,casablanca,marocco,8.0,26.0,sdi,,,,,,,,,,,,,,,,,,,
voli disponibili,vce,ssh,2024-01-02 10:40:00,venezia,sharm el sheikh,egitto,4.0,1.0,interpol,,,alb,venezia,sharm el sheikh,egitto,4.0,4.0,4.0,1.0,permesso di soggiorno,m,18-30,singola tratta,wizz air malta,w45462,in attesa,,
viaggiatori investigati,fco,saw,2024-01-02 11:00:00,roma,istanbul,turchia,5.0,167.0,,,,,,,,,,,,,,,,,,,,
voli con allarmi,bgy,saw,2024-01-02 11:10:00,bergamo,istanbul,turchia,2.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli investigati,aoi,tia,2024-01-02 11:15:00,ancona,tirana,albania,8.0,1.0,interpol,,,alb,ancona,tirana,albania,8.0,84.0,84.0,19.0,,f,46-60,singola tratta,wizz air malta,w43855,respinto,,
voli investigati,psr,tia,2024-01-02 11:15:00,pescara,tirana,albania,9.0,1.0,sdi,,,alb,pescara,tirana,albania,9.0,91.0,91.0,15.0,,f,0-17,singola tratta,wizz air malta,w4-3863,fermato,,
voli con allarmi,fco,tun,2024-01-02 11:25:00,roma,tunis,tunisia,5.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,amm,2024-01-02 12:00:00,roma,amman,giordania,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,amm,2024-01-02 12:00:00,roma,amman,giordania,5.0,98.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,cia,amm,2024-01-02 12:00:00,roma,amman,giordania,5.0,146.0,tsc,,,alb,roma,amman,giordania,5.0,1.0,1.0,0.0,passaporto,m,31-45,singola tratta,ryanair dac,fr4576,segnalato,,
voli disponibili,bgy,ssh,2024-01-02 12:10:00,bergamo,sharm el sheikh,egitto,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
allarmi chiusi,bgy,tia,2024-01-02 12:10:00,bergamo,tirana,albania,2.0,27.0,,,,alb,bergamo,tirana,albania,2.0,83.0,84.0,13.0,,f,0-17,singola tratta,wizz air malta,w43885,,,
voli investigati,lin,lhr,2024-01-02 12:35:00,milano,londra,regno unito,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,vrn,tia,2024-01-02 12:40:00,verona,tirana,albania,4.0,125.0,tsc,,,alb,verona,tirana,albania,4.0,66.0,68.0,10.0,visto,m,,singola tratta,air albania,zb2011,segnalato,,
esito negativo,mxp,cai,2024-01-02 12:50:00,milano,cairo,egitto,2.0,7.0,nsis,,,,,,,,,,,,,,,,,,,
allarmi chiusi,mxp,cmn,2024-01-02 13:00:00,milano,casablanca,marocco,2.0,19.0,tsc,,,,,,,,,,,,,,,,,,,
voli disponibili,vce,ist,2024-01-02 13:05:00,venezia,istanbul,turchia,4.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,mxp,hrg,2024-01-02 13:05:00,milano,hurghada,egitto,2.0,,tsc,,,,,,,,,,,,,,,,,,,
voli con allarmi,vrn,lgw,2024-01-02 13:10:00,verona,londra,regno unito,4.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi chiusi,vce,kiv,2024-01-02 13:20:00,venezia,chisinau,moldavia,4.0,8.0,sdi,,,,,,,,,,,,,,,,,,,
esito negativo,fco,eze,2024-01-02 13:45:00,roma,buenos aires,argentina,5.0,,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,fco,icn,2024-01-02 14:05:00,roma,seoul,corea del sud,5.0,191.0,manuale,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,ssh,2024-01-02 14:05:00,milano,sharm el sheikh,egitto,2.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,peg,tia,2024-01-02 14:15:00,perugia,tirana,albania,5.0,37.0,,,,alb,perugia,tirana,albania,5.0,88.0,76.0,19.0,carta d'identità,m,31-45,singola tratta,wizz air malta,w44811,ok,,
voli con allarmi,fco,auh,2024-01-02 14:40:00,roma,abu dhabi,emirati arabi uniti,5.0,,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,flr,lgw,2024-01-02 14:58:00,firenze,londra,regno unito,8.0,112.0,sdi,,,,,,,,,,,,,,,,,,,
voli investigati,flr,lgw,2024-01-02 14:58:00,firenze,londra,regno unito,8.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli disponibili,lin,lhr,2024-01-02 15:00:00,milano,londra,regno unito,2.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,bgy,ist,2024-01-02 15:05:00,bergamo,istanbul,turchia,2.0,177.0,sdi,,,alb,bergamo,istanbul,turchia,2.0,3.0,3.0,2.0,visto,f,61+,singola tratta,freebird airlines,fh0805,,,
viaggiatori entrati,tsf,tia,2024-01-02 15:25:00,treviso,tirana,albania,4.0,165.0,sdi,,,alb,treviso,tirana,albania,4.0,39.0,39.0,15.0,carta d'identità,m,18-30,singola tratta,wizz air malta,w44809,in attesa,,
voli con allarmi,fco,doh,2024-01-02 15:35:00,roma,doha,qatar,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,pmo,stn,2024-01-02 15:40:00,palermo,londra,regno unito,7.0,4.0,nsis,,,,,,,,,,,,,,,,,,,
voli investigati,fco,lhr,2024-01-02 15:50:00,roma,londra,regno unito,5.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli disponibili,psr,stn,2024-01-02 16:30:00,pescara,londra,regno unito,9.0,1.0,,,,,,,,,,,,,,,,,,,,
voli investigati,fco,jfk,2024-01-02 16:35:00,roma,new york,stati uniti,5.0,1.0,nsis,,,alb,roma,new york,stati uniti,5.0,1.0,1.0,6.0,permesso di soggiorno,m,61+,singola tratta,delta air lines,dl0182,segnalato,,
allarmi non chiusi,fco,lgw,2024-01-02 16:50:00,roma,londra,regno unito,5.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,blq,ist,2024-01-02 17:35:00,bologna,istanbul,turchia,8.0,159.0,nsis,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,ewr,2024-01-02 17:40:00,roma,newark,stati uniti,5.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,cai,2024-01-02 17:55:00,roma,cairo,egitto,5.0,,,,,,,,,,,,,,,,,,,,,
allarmi chiusi,fco,gru,2024-01-02 18:00:00,roma,san paolo,brasile,5.0,6.0,interpol,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,man,2024-01-02 18:15:00,milano,manchester,regno unito,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,dfw,2024-01-02 18:20:00,roma,dallas-fort worth,stati uniti,5.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,blq,tia,2024-01-02 18:40:00,bologna,tirana,albania,8.0,127.0,manuale,,,alb,bologna,tirana,albania,8.0,70.0,70.0,8.0,passaporto,,61+,singola tratta,air albania,zb2005,segnalato,,
viaggiatori entrati,mxp,ssh,2024-01-02 19:20:00,milano,sharm el-sheikh,egitto,2.0,215.0,nsis,,,,,,,,,,,,,,,,,,,
allarmi chiusi,fco,jfk,2024-01-02 19:35:00,roma,new york,stati uniti,5.0,12.0,,,,alb,roma,new york,stati uniti,5.0,1.0,1.0,6.0,permesso di soggiorno,m,61+,singola tratta,delta air lines,dl0182,segnalato,,
viaggiatori investigati,mxp,lgw,2024-01-02 19:45:00,milano,londra,regno unito,2.0,146.0,,,alto,alb,milano,londra,regno unito,2.0,1.0,1.0,4.0,permesso di soggiorno,f,61+,singola tratta,easyjet europe,ec8313,fermato,,
voli con allarmi,fco,mia,2024-01-02 19:50:00,roma,miami,stati uniti,5.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
allarmi generati,fco,mia,2024-01-02 19:50:00,roma,miami,stati uniti,5.0,10.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,fco,mia,2024-01-02 19:50:00,roma,miami,stati uniti,5.0,10.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,vce,lgw,2024-01-02 19:55:00,venezia,londra,regno unito,4.0,179.0,tsc,,,,,,,,,,,,,,,,,,,
voli disponibili,vce,lgw,2024-01-02 19:55:00,venezia,londra,regno unito,4.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,tsf,tia,2024-01-02 20:20:00,treviso,tirana,albania,4.0,177.0,interpol,,,alb,treviso,tirana,albania,4.0,55.0,55.0,8.0,,m,18-30,singola tratta,ryanair dac,fr8400,fermato,,
viaggiatori investigati,fco,ist,2024-01-02 21:10:00,roma,istanbul,turchia,5.0,137.0,manuale,,,,,,,,,,,,,,,,,,,
voli con allarmi,psa,tia,2024-01-02 21:30:00,pisa,tirana,albania,8.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
esito negativo,mxp,ssh,2024-01-02 21:35:00,milano,sharm el sheikh,egitto,2.0,10.0,interpol,,,alb,milano,sharm el sheikh,egitto,2.0,1.0,1.0,0.0,,m,0-17,singola tratta,neos s.p.a.,no2691,respinto,,
voli con allarmi,mxp,ssh,2024-01-02 21:35:00,milano,sharm el sheikh,egitto,2.0,1.0,nsis,,,alb,milano,sharm el sheikh,egitto,2.0,1.0,1.0,0.0,,m,0-17,singola tratta,neos s.p.a.,no2691,respinto,,
allarmi chiusi,mxp,ewr,2024-01-02 21:50:00,milano,newark,stati uniti,2.0,6.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,fco,eze,2024-01-02 23:20:00,roma,buenos aires,argentina,5.0,270.0,sdi,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,mxp,doh,2024-01-03 00:00:00,milano,doha,qatar,2.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,mxp,pek,2024-01-03 01:35:00,milano,pechino,cina,2.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,cai,2024-01-03 04:30:00,roma,cairo,egitto,5.0,1.0,,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,tia,2024-01-03 06:30:00,milano,tirana,albania,2.0,1.0,,,,alb,milano,tirana,albania,2.0,95.0,95.0,20.0,visto,f,61+,singola tratta,albawings,2b-0331,fermato,,
allarmi generati,tsf,tia,2024-01-03 06:50:00,treviso,tirana,albania,4.0,20.0,manuale,,,alb,treviso,tirana,albania,4.0,83.0,83.0,12.0,,m,46-60,singola tratta,wizz air malta,w43851,segnalato,,
viaggiatori investigati,psa,tia,2024-01-03 06:50:00,pisa,tirana,albania,8.0,166.0,manuale,,,alb,pisa,tirana,albania,8.0,121.0,121.0,18.0,carta d'identità,f,46-60,singola tratta,wizz air malta,w43853,respinto,,
allarmi generati,psa,tia,2024-01-03 06:50:00,pisa,tirana,albania,8.0,29.0,,,,alb,pisa,tirana,albania,8.0,121.0,121.0,18.0,carta d'identità,f,46-60,singola tratta,wizz air malta,w43853,respinto,,
voli investigati,mxp,beg,2024-01-03 07:00:00,milano,belgrado,serbia,2.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,mxp,stn,2024-01-03 07:20:00,milano,londra,regno unito,2.0,148.0,,,,alb,milano,londra,regno unito,2.0,6.0,6.0,4.0,carta d'identità,m,46-60,singola tratta,ryanair dac,fr8753,ok,,
viaggiatori con allarmi,mxp,stn,2024-01-03 07:20:00,milano,londra,regno unito,2.0,14.0,sdi,,,alb,milano,londra,regno unito,2.0,6.0,6.0,4.0,carta d'identità,m,46-60,singola tratta,ryanair dac,fr8753,ok,,
allarmi generati,lin,lhr,2024-01-03 07:25:00,milano,londra,regno unito,2.0,2.0,,,,,,,,,,,,,,,,,,,,
allarmi generati,mxp,man,2024-01-03 07:25:00,milano,manchester,regno unito,2.0,4.0,,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,lin,lhr,2024-01-03 07:25:00,milano,londra,regno unito,2.0,2.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,cta,dxb,2024-01-03 07:35:00,catania,dubai,emirati arabi uniti,7.0,108.0,interpol,,,,,,,,,,,,,,,,,,,
voli disponibili,cia,stn,2024-01-03 08:05:00,roma,londra,regno unito,5.0,1.0,,,,alb,roma,londra,regno unito,5.0,1.0,1.0,0.0,carta d'identità,m,0-17,singola tratta,ryanair dac,fr2455,,,
viaggiatori entrati,mxp,kwi,2024-01-03 08:25:00,milano,kuwait,kuwait,2.0,119.0,tsc,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,znz,2024-01-03 08:30:00,roma,zanzibar,tanzania,5.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,ika,2024-01-03 08:50:00,milano,tehran,iran,2.0,172.0,nsis,,,afg,milano,tehran,iran,2.0,29.0,29.0,5.0,permesso di soggiorno,f,46-60,singola tratta,iran air,ir0751,,,
voli con allarmi,mxp,ika,2024-01-03 08:50:00,milano,tehran,iran,2.0,1.0,nsis,,,afg,milano,tehran,iran,2.0,29.0,29.0,5.0,permesso di soggiorno,f,46-60,singola tratta,iran air,ir0751,,,
voli investigati,blq,tia,2024-01-03 09:10:00,bologna,tirana,albania,8.0,1.0,manuale,,,alb,bologna,tirana,albania,8.0,109.0,109.0,23.0,carta d'identità,,0-17,singola tratta,ryanair dac,fr8399,respinto,,
voli con allarmi,blq,tia,2024-01-03 09:10:00,bologna,tirana,albania,8.0,,,,,alb,bologna,tirana,albania,8.0,109.0,109.0,23.0,carta d'identità,,0-17,singola tratta,ryanair dac,fr8399,respinto,,
voli solo visualizzati,blq,ist,2024-01-03 09:25:00,bologna,istanbul,turchia,8.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
voli con allarmi,cia,stn,2024-01-03 09:25:00,roma,londra,regno unito,5.0,,nsis,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,mru,2024-01-03 09:45:00,roma,plaisance,mauritius,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,cai,2024-01-03 10:00:00,roma,il cairo,egitto,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli disponibili,lin,lhr,2024-01-03 10:30:00,milano,londra,regno unito,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,spx,2024-01-03 11:05:00,roma,giza,egitto,5.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,blq,tia,2024-01-03 11:30:00,bologna,tirana,albania,8.0,173.0,manuale,,,alb,bologna,tirana,albania,8.0,107.0,107.0,34.0,passaporto,f,18-30,singola tratta,wizz air malta,w43877,,,
viaggiatori entrati,bgy,saw,2024-01-03 11:40:00,bergamo,istanbul,turchia,2.0,175.0,sdi,,,are,bergamo,istanbul,turchia,2.0,2.0,2.0,0.0,passaporto,f,0-17,singola tratta,turkish airlines,tk7794,respinto,,
voli solo visualizzati,bgy,tia,2024-01-03 12:10:00,bergamo,tirana,albania,2.0,1.0,sdi,,,alb,bergamo,tirana,albania,2.0,97.0,97.0,16.0,visto,m,46-60,singola tratta,wizz air malta,w43885,respinto,,
viaggiatori investigati,peg,tia,2024-01-03 12:30:00,perugia,tirana,albania,5.0,134.0,nsis,,,,perugia,tirana,albania,5.0,78.0,78.0,14.0,carta d'identità,f,0-17,singola tratta,albawings,2b0273,segnalato,,
voli con allarmi,fco,pvg,2024-01-03 12:35:00,roma,shanghai,cina,5.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,lhr,2024-01-03 12:40:00,roma,londra,regno unito,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,blq,cmn,2024-01-03 12:50:00,bologna,casablanca,marocco,8.0,,interpol,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,amm,2024-01-03 13:00:00,milano,amman,giordania,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli investigati,fco,icn,2024-01-03 13:20:00,roma,seoul,corea del sud,5.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,icn,2024-01-03 13:20:00,roma,seoul,corea del sud,5.0,1.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,vce,lhr,2024-01-03 13:40:00,venezia,londra,regno unito,4.0,151.0,sdi,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,brs,2024-01-03 13:40:00,roma,bristol,regno unito,5.0,1.0,,,,,,,,,,,,,,,,,,,,
allarmi chiusi,mxp,evn,2024-01-03 13:45:00,milano,yerevan,armenia,2.0,4.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,fco,lgw,2024-01-03 13:55:00,roma,londra,regno unito,5.0,177.0,nsis,,,,,,,,,,,,,,,,,,,
allarmi generati,mxp,ssh,2024-01-03 14:10:00,milano,sharm el sheikh,egitto,2.0,9.0,sdi,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,sid,2024-01-03 14:10:00,milano,sal,capo verde,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,mxp,sid,2024-01-03 14:10:00,milano,sal,capo verde,2.0,6.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,psa,tia,2024-01-03 15:15:00,pisa,tirana,albania,8.0,153.0,nsis,,,alb,pisa,tirana,albania,8.0,104.0,104.0,20.0,passaporto,m,18-30,singola tratta,wizz air malta,w46649,,,
allarmi generati,fco,saw,2024-01-03 15:35:00,roma,istanbul,turchia,5.0,15.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi chiusi,cta,cmn,2024-01-03 15:55:00,catania,casablanca,marocco,7.0,7.0,nsis,,,,,,,,,,,,,,,,,,,
voli investigati,tsf,tia,2024-01-03 16:05:00,treviso,tirana,albania,4.0,1.0,manuale,,,alb,treviso,tirana,albania,4.0,70.0,70.0,20.0,carta d'identità,f,31-45,singola tratta,ryanair dac,fr8400,in attesa,,
voli investigati,mxp,rak,2024-01-03 16:20:00,milano,marrakech,marocco,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli disponibili,trn,cmn,2024-01-03 16:20:00,torino,casablanca,marocco,1.0,1.0,,,,,,,,,,,,,,,,,,,,
voli con allarmi,psa,tia,2024-01-03 16:30:00,pisa,tirana,albania,8.0,1.0,tsc,,,alb,pisa,tirana,albania,8.0,74.0,74.0,11.0,permesso di soggiorno,m,61+,singola tratta,air albania,zb2009,segnalato,,
voli solo visualizzati,tsf,tia,2024-01-03 16:40:00,treviso,tirana,albania,4.0,1.0,interpol,,,alb,treviso,tirana,albania,4.0,68.0,68.0,9.0,permesso di soggiorno,f,31-45,singola tratta,wizz air malta,w44809,fermato,,
voli con allarmi,fco,lgw,2024-01-03 16:40:00,roma,londra,regno unito,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
allarmi generati,cia,stn,2024-01-03 17:00:00,roma,londra,regno unito,5.0,10.0,manuale,,,,,,,,,,,,,,,,,,,
voli con allarmi,vrn,tia,2024-01-03 17:00:00,verona,tirana,albania,4.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,pmo,ist,2024-01-03 17:05:00,palermo,istanbul,turchia,7.0,1.0,,,,,,,,,,,,,,,,,,,,
voli investigati,psa,tia,2024-01-03 17:10:00,pisa,tirana,albania,8.0,1.0,nsis,,,alb,pisa,tirana,albania,8.0,82.0,82.0,20.0,,m,18-30,singola tratta,albawings,2b0231,,,
esito negativo,bgy,bhx,2024-01-03 17:55:00,bergamo,birmingham,regno unito,2.0,12.0,manuale,,,alb,bergamo,birmingham,regno unito,2.0,1.0,4.0,0.0,passaporto,f,31-45,singola tratta,ryanair dac,fr5103,respinto,,
voli con allarmi,fco,ist,2024-01-03 18:00:00,roma,istanbul,turchia,5.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,fco,beg,2024-01-03 18:05:00,roma,belgrado,serbia,5.0,121.0,interpol,,,,,,,,,,,,,,,,,,,
voli disponibili,lin,lhr,2024-01-03 18:30:00,milano,londra,regno unito,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli con allarmi,nap,lgw,2024-01-03 18:40:00,napoli,londra,regno unito,6.0,1.0,,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,dfw,2024-01-03 18:41:00,roma,dallas-fort worth,stati uniti,5.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
allarmi generati,mxp,stn,2024-01-03 18:45:00,milano,londra,regno unito,2.0,7.0,sdi,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,tun,2024-01-03 19:05:00,roma,tunis,tunisia,5.0,1.0,,,,,,,,,,,,,,,,,,,,
voli investigati,fco,skp,2024-01-03 19:20:00,roma,skopje,macedonia,5.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
voli con allarmi,fco,ssh,2024-01-03 19:20:00,roma,sharm el sheikh,egitto,5.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
allarmi generati,vce,stn,2024-01-03 19:40:00,venezia,londra,regno unito,4.0,8.0,sdi,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,vce,stn,2024-01-03 19:40:00,venezia,londra,regno unito,4.0,8.0,,,,,,,,,,,,,,,,,,,,
voli investigati,mxp,tia,2024-01-03 19:45:00,milano,tirana,albania,2.0,1.0,tsc,,,alb,milano,tirana,albania,2.0,83.0,83.0,85.0,visto,f,0-17,singola tratta,wizz air malta,w46609,ok,,
viaggiatori entrati,mxp,spx,2024-01-03 19:50:00,milano,giza,egitto,2.0,197.0,,,,,,,,,,,,,,,,,,,,
allarmi rilevanti,fco,mex,2024-01-03 20:40:00,roma,citta del messico,messico,5.0,1.0,manuale,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,bgy,amm,2024-01-03 21:35:00,bergamo,amman,giordania,2.0,174.0,sdi,,,,,,,,,,,,,,,,,,,
allarmi generati,bgy,amm,2024-01-03 21:35:00,bergamo,amman,giordania,2.0,9.0,manuale,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,bgy,amm,2024-01-03 21:35:00,bergamo,amman,giordania,2.0,1.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori con allarmi,mxp,jfk,2024-01-03 22:20:00,milano,new york,stati uniti,2.0,15.0,interpol,,,alb,milano,new york,stati uniti,2.0,5.0,5.0,1.0,,f,46-60,singola tratta,emirates,ek0206,,,
viaggiatori investigati,fco,add,2024-01-03 22:40:00,roma,addis ababa,etiopia,5.0,0.0,nsis,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,bgy,cai,2024-01-04 00:00:00,bergamo,cairo,egitto,2.0,165.0,interpol,,,,,,,,,,,,,,,,,,,
esito negativo,mxp,lxr,2024-01-04 00:00:00,milano,luxor,egitto,2.0,7.0,manuale,,,,,,,,,,,,,,,,,,,
voli disponibili,mxp,add,2024-01-04 00:15:00,milano,addis ababa,etiopia,2.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
voli disponibili,fco,szx,2024-01-04 01:30:00,roma,shenzhen,cina,5.0,1.0,,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,doh,2024-01-04 02:30:00,roma,doha,qatar,5.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli con allarmi,mxp,auh,2024-01-04 03:10:00,milano,abu dhabi,emirati arabi uniti,2.0,1.0,sdi,,,alb,milano,abu dhabi,emirati arabi uniti,2.0,1.0,1.0,0.0,,m,18-30,singola tratta,etihad airways,ey0081,segnalato,,
viaggiatori entrati,bgy,stn,2024-01-04 06:00:00,bergamo,londra,regno unito,2.0,104.0,,,,,,,,,,,,,,,,,,,,
viaggiatori entrati,cia,stn,2024-01-04 06:00:00,roma,londra,regno unito,5.0,151.0,manuale,,,,,,,,,,,,,,,,,,,
voli solo visualizzati,fco,tia,2024-01-04 06:10:00,roma,tirana,albania,5.0,1.0,manuale,,,alb,roma,tirana,albania,5.0,117.0,117.0,13.0,visto,f,31-45,singola tratta,wizz air malta,w43857,segnalato,,
allarmi rilevanti,bgy,tia,2024-01-04 06:10:00,bergamo,tirana,albania,2.0,1.0,nsis,,,alb,bergamo,tirana,albania,2.0,117.0,117.0,21.0,permesso di soggiorno,,,singola tratta,wizz air malta,w43845,respinto,,
voli investigati,fco,tia,2024-01-04 06:10:00,roma,tirana,albania,5.0,1.0,manuale,alert manuale,,alb,roma,tirana,albania,5.0,117.0,117.0,13.0,visto,f,31-45,singola tratta,wizz air malta,w43857,segnalato,,
voli solo visualizzati,bgy,rak,2024-01-04 06:15:00,bergamo,marrakech,marocco,2.0,1.0,,,,,,,,,,,,,,,,,,,,
viaggiatori investigati,lin,lhr,2024-01-04 06:40:00,milano,londra,regno unito,2.0,32.0,tsc,,,,,,,,,,,,,,,,,,,
voli investigati,fco,beg,2024-01-04 06:45:00,roma,belgrado,serbia,5.0,1.0,interpol,,,,,,,,,,,,,,,,,,,
voli investigati,trn,tia,2024-01-04 06:55:00,torino,tirana,albania,1.0,1.0,manuale,,,alb,torino,tirana,albania,1.0,116.0,116.0,29.0,carta d'identità,m,46-60,singola tratta,wizz air malta,w46603,respinto,,
voli con allarmi,vce,lgw,2024-01-04 07:00:00,venezia,londra,regno unito,4.0,1.0,tsc,,,,,,,,,,,,,,,,,,,
